collection,url,description,color,sku,price,qty_info,dimensions,params
A.Mano,https://www.centura.ca/en/products/tile/porcelain/a.mano/,"A.mano, a line of porcelain floor and wall tiles inspired by a European tradition with its four warm colours and two finishes. A nice reminder of a time when art, use and quality were inseparable.",Black,AMBLK,$18.69,sq. ft.,"12″ x 12″, 30cm x 30cm","Thickness:9.6mm, Rectified tile, Nuance:V3 Moderate, PEI:4, R rating:R10, Frost resistance, Suggested grout:941 - Raven"
A.Mano,https://www.centura.ca/en/products/tile/porcelain/a.mano/,"A.mano, a line of porcelain floor and wall tiles inspired by a European tradition with its four warm colours and two finishes. A nice reminder of a time when art, use and quality were inseparable.",Black,AMBLKDE,$18.69,sq. ft.,"12″ x 12″, 30cm x 30cm","Thickness:9.6mm, Rectified tile, Nuance:V3 Moderate, PEI:4, R rating:R10, Frost resistance, Suggested grout:941 - Raven"
A.Mano,https://www.centura.ca/en/products/tile/porcelain/a.mano/,"A.mano, a line of porcelain floor and wall tiles inspired by a European tradition with its four warm colours and two finishes. A nice reminder of a time when art, use and quality were inseparable.",Grey,AMGRDE,$18.69,sq. ft.,"12″ x 12″, 30cm x 30cm","Thickness:9.6mm, Rectified tile, Nuance:V3 Moderate, PEI:4, R rating:R10, Frost resistance, Suggested grout:934 - DeLorean Gray"
A.Mano,https://www.centura.ca/en/products/tile/porcelain/a.mano/,"A.mano, a line of porcelain floor and wall tiles inspired by a European tradition with its four warm colours and two finishes. A nice reminder of a time when art, use and quality were inseparable.",Grey,AMGRE,$18.69,sq. ft.,"12″ x 12″, 30cm x 30cm","Thickness:9.6mm, Rectified tile, Nuance:V3 Moderate, PEI:4, R rating:R10, Frost resistance, Suggested grout:934 - DeLorean Gray"
A.Mano,https://www.centura.ca/en/products/tile/porcelain/a.mano/,"A.mano, a line of porcelain floor and wall tiles inspired by a European tradition with its four warm colours and two finishes. A nice reminder of a time when art, use and quality were inseparable.",Rosso,AMRO,$18.69,sq. ft.,"12″ x 12″, 30cm x 30cm","Thickness:9.6mm, Rectified tile, Nuance:V3 Moderate, PEI:4, R rating:R10, Frost resistance, Suggested grout:927 - Light Pewter"
A.Mano,https://www.centura.ca/en/products/tile/porcelain/a.mano/,"A.mano, a line of porcelain floor and wall tiles inspired by a European tradition with its four warm colours and two finishes. A nice reminder of a time when art, use and quality were inseparable.",Rosso,AMRODE,$18.69,sq. ft.,"12″ x 12″, 30cm x 30cm","Thickness:9.6mm, Rectified tile, Nuance:V3 Moderate, PEI:4, R rating:R10, Frost resistance, Suggested grout:927 - Light Pewter"
A.Mano,https://www.centura.ca/en/products/tile/porcelain/a.mano/,"A.mano, a line of porcelain floor and wall tiles inspired by a European tradition with its four warm colours and two finishes. A nice reminder of a time when art, use and quality were inseparable.",White,AMWH,$18.69,sq. ft.,"12″ x 12″, 30cm x 30cm","Thickness:9.6mm, Rectified tile, Nuance:V3 Moderate, PEI:4, R rating:R10, Frost resistance, Suggested grout:908 - Dove Gray"
A.Mano,https://www.centura.ca/en/products/tile/porcelain/a.mano/,"A.mano, a line of porcelain floor and wall tiles inspired by a European tradition with its four warm colours and two finishes. A nice reminder of a time when art, use and quality were inseparable.",White,AMWHDE,$18.69,sq. ft.,"12″ x 12″, 30cm x 30cm","Thickness:9.6mm, Rectified tile, Nuance:V3 Moderate, PEI:4, R rating:R10, Frost resistance, Suggested grout:908 - Dove Gray"
Abaco,https://www.centura.ca/en/products/tile/porcelain/abaco/,"These porcelain tiles look like natural stone. With its incredibly natural appearance, characterized by different colours that give movement to the surfaces, its particularly warm colours and its different sizes, Abaco is a collection to keep in mind to create countless kinds of settings, each more original than the last.",Dark Grey,4632,$9.14,sq. ft.,"24″ x 24″, 60cm x 60cm","Thickness:10mm, Rectified tile, Nuance:V3 Moderate, R rating:R10, Frost resistance, Suggested grout:927 - Light Pewter"
Abaco,https://www.centura.ca/en/products/tile/porcelain/abaco/,"These porcelain tiles look like natural stone. With its incredibly natural appearance, characterized by different colours that give movement to the surfaces, its particularly warm colours and its different sizes, Abaco is a collection to keep in mind to create countless kinds of settings, each more original than the last.",Dark Grey,4633,$9.22,sq. ft.,"12″ x 24″, 30cm x 60cm","Thickness:10mm, Rectified tile, Nuance:V3 Moderate, R rating:R10, Frost resistance, Suggested grout:927 - Light Pewter"
